,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Pair,Root,Subcategory
10,KEGG_2021_Human,Lipid and atherosclerosis,85/215,2.348549134602578e-19,6.7467411503128615e-18,0,0,3.904415352089771,167.48114211027917,CD40;CXCL8;NCF2;CXCL1;FASLG;CXCL3;TNF;ICAM1;CASP9;CASP7;CASP8;AKT2;CASP3;AKT3;TNFSF10;CASP1;IL12B;OLR1;CD36;IKBKG;LBP;HRAS;MAP3K5;VAV3;MMP1;MMP3;IL18;APOA1;APOA4;TRAF2;FOS;IRAK4;MMP9;TNFRSF1A;ERN1;TRAF3;IL1B;ARHGEF1;PLCB1;TP53;PLCB2;TLR4;ATF4;TLR2;SRC;ITPR1;LY96;TANK;AGER;HSP90B1;MAPK9;PPP3R1;RAP1A;IRAK1;CCL5;CCL3;CCL2;CD14;APOB;BID;LDLR;MAP2K6;LYN;JUN;VCAM1;NOS3;EIF2AK3;NFATC3;TNFRSF10B;NFATC1;TNFRSF10A;HSPA2;SOD2;SELE;NFKB1;MAPK13;SELP;IL6;CD40LG;BCL2;FAS;BAX;TAB2;HSPA1A;BCL2L1,0,Human Diseases,Cardiovascular disease
11,KEGG_2021_Human,NF-kappa B signaling pathway,53/104,2.3904119582007254e-18,6.294751489928577e-17,0,0,6.165047482407597,250.14720821658327,CD40;CXCL8;CXCL1;TNFRSF13C;CXCL3;TNF;EDA2R;ICAM1;TNFSF13B;PLAU;BLNK;TNFSF11;TRIM25;IKBKG;LBP;CSNK2A1;PARP1;IL1R1;DDX58;TRAF2;IRAK4;TNFRSF1A;EDAR;TRAF3;IL1B;LTA;PRKCQ;LTB;TLR4;BIRC2;CCL13;LY96;XIAP;TNFRSF11A;RELB;IRAK1;CCL4;CD14;CCL19;LYN;VCAM1;GADD45B;TNFSF14;CCL21;NFKB1;NFKB2;CXCL12;CD40LG;BCL2;TAB2;LTBR;LAT;BCL2L1,0,Environmental Information Processing,Signal transduction
12,KEGG_2021_Human,IL-17 signaling pathway,49/94,1.338372285727691e-17,3.2532741714611564e-16,0,0,6.453011675558648,250.71558719429584,CXCL6;CSF3;CSF2;CXCL8;IL25;TRAF3IP2;CXCL1;CXCL3;TNF;CXCL5;CASP8;CASP3;IKBKG;MMP1;IL13;MMP3;TRAF2;FOS;MMP9;IL17RB;IL17RA;MMP13;IFNG;TRAF3;IL1B;CEBPB;CCL11;HSP90B1;MAPK9;CCL7;CCL2;FADD;CCL17;USP25;JUN;CCL20;NFKB1;MAPK13;IL4;CXCL10;IL6;IL5;LCN2;FOSB;IL17F;TAB2;IL17D;IL17C;IL17A,0,Organismal Systems,Immune system
13,KEGG_2021_Human,TNF signaling pathway,54/112,2.7762133740134226e-17,6.26631018705887e-16,0,0,5.52292640713453,210.54974290470676,ATF2;CXCL6;CSF2;CSF1;CXCL1;CXCL3;TNF;CX3CL1;CXCL5;ICAM1;CASP7;CASP8;CASP10;AKT2;CASP3;AKT3;IKBKG;MAP3K5;MAP2K1;EDN1;IL15;MMP3;TRAF2;FOS;TNFRSF1B;MMP9;TNFRSF1A;CREB3;TRAF3;IL1B;LTA;BIRC2;ATF4;CEBPB;MAPK9;BAG4;CCL5;CCL2;FADD;MAP2K6;JUN;VCAM1;CCL20;LIF;VEGFC;VEGFD;SELE;NFKB1;MAPK13;CXCL10;IL6;FAS;TAB2;IL18R1,0,Environmental Information Processing,Signal transduction
14,KEGG_2021_Human,Apoptosis,62/142,5.804316782663196e-17,1.222776068881047e-15,0,0,4.604220552254456,172.1303722703321,CTSZ;FASLG;CTSV;TNF;CTSS;LMNB2;LMNB1;CASP9;CASP7;CTSO;CASP8;AIFM1;CASP10;CTSL;AKT2;CASP3;AKT3;TNFSF10;CASP2;CTSH;CTSF;IKBKG;CTSD;HRAS;CTSC;MAP3K5;CTSB;MAP2K1;DFFA;PARP1;TRAF2;FOS;NGF;TNFRSF1A;ERN1;IL3RA;TP53;BIRC2;ATF4;BECN1;DIABLO;ITPR1;HTRA2;XIAP;CSF2RB;MAPK9;BCL2L11;FADD;BID;NGFR;JUN;GADD45B;EIF2AK3;TNFRSF10B;GZMB;TNFRSF10A;NFKB1;IL3;BCL2;BAX;FAS;BCL2L1,0,Cellular Processes,Cell growth and death
15,KEGG_2021_Human,Malaria,33/50,1.7678027432267706e-16,3.4914104178728725e-15,0,0,11.458986362711174,415.6360459208646,CD40;CSF3;CXCL8;KLRB1;LRP1;ITGB2;ITGAL;THBS2;TNF;THBS4;ICAM1;COMP;KLRK1;CCL2;CD36;IL10;TGFB2;CR1;TGFB1;VCAM1;HGF;IL18;SELE;SELP;IL6;CD40LG;IFNG;IL1B;PECAM1;SDC1;MET;TLR4;TLR2,0,Human Diseases,Infectious disease: parasitic
16,KEGG_2021_Human,Focal adhesion,76/201,3.525518843118729e-16,6.553317378973639e-15,0,0,3.6202374429223743,128.81287715591998,ITGB1;FLT1;ITGB5;FLT4;RASGRF1;TNC;PTEN;ARHGAP5;CRKL;IGF1R;COMP;PPP1CC;CCND2;TNN;AKT2;AKT3;KDR;RAC3;TNR;ITGAV;ITGB7;ITGB6;HRAS;VAV3;PDGFRB;PDGFRA;MAP2K1;PPP1R12A;VWF;HGF;ITGA2;ACTN4;PGF;COL2A1;COL4A1;COL4A4;COL6A3;ITGA6;ITGA5;PPP1R12B;MET;BIRC2;TNXB;SHC1;LAMA1;SRC;LAMA4;PXN;PDGFB;PDGFA;XIAP;THBS2;EGFR;THBS4;MAPK9;RAP1A;PDGFC;CHAD;ERBB2;SPP1;PAK4;VASP;JUN;EGF;FN1;VEGFB;VEGFC;VEGFD;LAMB1;VEGFA;COL1A1;MYLPF;ITGA11;COL9A1;BCL2;COL9A2,0,Cellular Processes,Cellular community - eukaryotes
17,KEGG_2021_Human,Osteoclast differentiation,55/127,5.053179000543936e-15,8.871136467621577e-14,0,0,4.529264489384782,149.0977654695604,CSF1;NCF2;TREM2;TNF;SIRPB1;FCGR3B;AKT2;AKT3;BLNK;SIRPA;TNFSF11;ACP5;IKBKG;MAP2K1;IL1R1;IFNGR1;IFNGR2;TRAF2;FOS;TGFBR1;OSCAR;TGFBR2;TNFRSF1A;IL1A;IFNG;IL1B;IFNAR1;LILRA6;CSF1R;TNFRSF11B;TNFRSF11A;LILRA2;LILRA3;LILRA4;LILRA5;RELB;MAPK9;PPP3R1;MAP2K6;JUN;TGFB2;TGFB1;STAT2;NFATC1;LILRB1;LILRB2;LILRB4;NFKB1;LILRB5;NFKB2;MAPK13;FCGR2A;FOSB;TAB2;FCGR2B,0,Organismal Systems,Development and regeneration
18,KEGG_2021_Human,Rap1 signaling pathway,76/210,5.647518832779253e-15,9.392715532411809e-14,0,0,3.375294234832161,110.73516843354024,ITGB1;FLT1;ITGAM;CSF1;FLT4;ITGB2;ITGAL;FGF2;FGF3;CRKL;IGF1R;FGF5;FGF6;FGF7;FGF9;CDH1;AKT2;AKT3;KDR;RAC3;HRAS;VAV3;PDGFRB;PDGFRA;MAP2K1;HGF;F2R;NGF;PGF;APBB1IP;ENAH;PARD3;KIT;RAPGEF2;PRKD2;PLCB1;PLCB2;MET;SKAP1;EPHA2;CSF1R;RALB;SRC;PDGFB;PDGFA;EFNA4;EGFR;RAP1A;RRAS;PDGFC;FGF20;FGF23;FGF21;MAP2K6;VASP;NGFR;FYB1;ANGPT2;ANGPT1;EGF;INSR;VEGFB;VEGFC;VEGFD;GRIN2B;VEGFA;MAPK13;EFNA1;FGF16;KITLG;FGF19;GNAS;TEK;FGFR4;FGFR2;LAT,0,Environmental Information Processing,Signal transduction
19,KEGG_2021_Human,Ras signaling pathway,81/232,7.504450760932381e-15,1.1857032202273164e-13,0,0,3.194760708576648,103.90409742731984,FLT1;CSF1;FLT3;FLT4;RASGRF1;FASLG;FGF2;FGF3;IGF1R;GNGT1;FGF5;FGF6;FGF7;SYNGAP1;FGF9;AKT2;AKT3;KDR;RAC3;IKBKG;HRAS;PDGFRB;PDGFRA;MAP2K1;HGF;FLT3LG;PLA2G4A;NGF;PGF;RASA1;KIT;PLA2G10;MET;EPHA2;ARF6;CSF1R;RALB;SHC1;PLA2G1B;PDGFB;PDGFA;TGFA;STK4;EFNA4;EGFR;NTF4;MAPK9;RAP1A;RRAS;PDGFC;NTF3;ABL1;FGF20;FGF23;PAK4;FGF21;BRAP;NGFR;NTRK2;ANGPT2;ANGPT1;BDNF;EGF;INSR;PLA2G2A;VEGFB;VEGFC;VEGFD;GRIN2B;NFKB1;VEGFA;EFNA1;FGF16;KITLG;FGF19;TEK;FGFR4;RGL2;FGFR2;LAT;BCL2L1,0,Environmental Information Processing,Signal transduction
20,KEGG_2021_Human,ECM-receptor interaction,43/88,2.5853532399716376e-14,3.8903410658620833e-13,0,0,5.6510493827160495,176.8005910497704,ITGB1;TNXB;ITGB5;SDC4;LAMA1;LAMA4;TNC;DMP1;HMMR;THBS2;THBS4;COMP;TNN;SV2A;CHAD;DAG1;SPP1;TNR;ITGAV;ITGB7;CD36;ITGB6;VWF;GP1BB;ITGA2;FN1;GP1BA;LAMB1;GP6;HSPG2;GP5;COL1A1;COL2A1;COL4A1;COL4A4;ITGA11;COL9A1;COL6A3;SDC1;ITGA6;ITGA5;COL9A2;AGRN,0,Environmental Information Processing,Signaling molecules and interaction
21,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,46/100,5.6326669605038863e-14,8.090557997814672e-13,0,0,5.040345524530439,153.76888679112602,CXCL8;SERPINE1;TNF;AGER;FOXO1;ICAM1;THBD;MAPK9;AKT2;CASP3;AKT3;CCL2;HRAS;SMAD2;STAT5B;JUN;TGFB2;EDN1;SMAD3;TGFB1;VCAM1;NOS3;FN1;VEGFB;VEGFC;NFATC1;VEGFD;SELE;F3;NFKB1;TGFBR1;AGT;TGFBR2;MAPK13;VEGFA;COL1A1;IL1A;IL6;COL3A1;COL4A1;COL4A4;IL1B;BCL2;BAX;PLCB1;PLCB2,0,Human Diseases,Endocrine and metabolic disease
22,KEGG_2021_Human,Chagas disease,46/102,1.390886516757452e-13,1.910957127371108e-12,0,0,4.859762153036397,143.86677019072542,C1QA;CXCL8;SERPINE1;CD3G;FASLG;CD3E;TNF;CD3D;C3;MAPK9;CASP8;IRAK1;AKT2;CCL5;AKT3;CCL3;IL12B;CCL2;FADD;IKBKG;SMAD2;IL10;JUN;TGFB2;ACE;TGFB1;NOS2;IFNGR1;IFNGR2;FOS;IRAK4;IL2;NFKB1;TGFBR1;TGFBR2;TNFRSF1A;MAPK13;IL6;IFNG;IL1B;GNAS;FAS;PLCB1;PLCB2;TLR4;TLR2,0,Human Diseases,Infectious disease: parasitic
23,KEGG_2021_Human,Inflammatory bowel disease,35/65,1.5792900775369313e-13,2.079398602090293e-12,0,0,6.886484302862419,202.9903551737456,IL22;GATA3;IL2RG;TNF;IL18RAP;IL21R;IL12B;IL12RB1;IL12RB2;IL10;SMAD2;JUN;TGFB2;IL4R;SMAD3;TGFB1;IFNGR1;IFNGR2;IL13;IL18;NFATC1;IL2;NFKB1;IL4;IL1A;IL6;IL5;IFNG;IL1B;HLA-DRA;IL17F;TLR4;IL18R1;TLR2;IL17A,0,Human Diseases,Immune disease
24,KEGG_2021_Human,Th17 cell differentiation,46/107,1.1641213654308026e-12,1.4714494059045344e-11,0,0,4.460110429238107,122.55961758879684,IL22;CD3G;IL1RAP;GATA3;CD3E;IL2RG;HIF1A;CD3D;MAPK9;PPP3R1;IL21R;IKBKG;IL12RB1;IL6R;SMAD2;STAT5B;JUN;IL4R;SMAD3;TGFB1;IL1R1;IFNGR1;IFNGR2;NFATC3;NFATC1;FOS;IL2;NFKB1;TGFBR1;TGFBR2;MAPK13;IL4;IL6;CD4;IFNG;IL1B;IL2RA;IL2RB;HLA-DRA;PRKCQ;IL17F;IL6ST;NFKBIE;IL17D;LAT;IL17A,0,Organismal Systems,Immune system
25,KEGG_2021_Human,Measles,54/139,1.861730650144609e-12,2.2000453219811736e-11,0,0,3.762606360076272,101.62617143061746,CLEC4M;CD3G;FASLG;CD3E;CD3D;CASP9;CCND2;CASP8;AKT2;CASP3;AKT3;IL12B;IKBKG;CSNK2A1;DDX58;FOS;IRAK4;IL1A;CCNE1;TRAF3;IL1B;CD46;TP53;TLR4;IFNAR1;TLR2;IL2RG;MAPK9;IRAK1;FADD;BID;SLAMF1;STAT5B;JUN;STAT2;EIF2AK3;EIF2AK2;HSPA2;IL2;NFKB1;IL6;MAVS;CD209;IL2RA;IL2RB;BCL2;CD28;BAX;FAS;TAB2;FCGR2B;BCL2L1;TP73;HSPA1A,0,Human Diseases,Infectious disease: viral
26,KEGG_2021_Human,Pertussis,37/76,1.879785559920623e-12,2.2000453219811736e-11,0,0,5.6009204470742935,151.22408703828265,ITGB1;CXCL6;C1QA;CXCL8;ITGAM;C1S;SFTPA2;C1R;ITGB2;LY96;C4BPB;TNF;CXCL5;C2;C3;MAPK9;CASP7;C5;IRAK1;CASP3;CASP1;IL12B;CD14;IL10;JUN;NOS2;FOS;IRAK4;NFKB1;MAPK13;IL1A;IL6;IL1B;SERPING1;ITGA5;SFTPA1;TLR4,0,Human Diseases,Infectious disease: bacterial
27,KEGG_2021_Human,Lysosome,51/128,2.4542257566317482e-12,2.769769068198688e-11,0,0,3.920522374561372,104.80814708046654,SCARB2;CTSZ;CLTA;CTSV;NAGPA;CTSS;SGSH;CTSO;LAMP1;AP1G2;GM2A;CTSL;HYAL1;LAMP3;SMPD1;LAMP2;ACP5;CTSH;IDS;AP3S2;CTSF;CTSE;GUSB;CTSD;CTSC;CTSB;ARSA;AP3B1;SUMF1;PLA2G15;NPC2;CD63;ASAH1;IDUA;GBA;GGA1;PSAP;ARSB;ABCA2;CD164;PSAPL1;SORT1;FUCA1;M6PR;NAGA;IGF2R;GLB1;PPT1;TPP1;GLA;LGMN,0,Cellular Processes,Transport and catabolism
